Brugpunt1_deltax,Brugpunt2_deltax,Brugpunt1_deltaz,Brugpunt2_deltaz,Brug1_lokaal_x,Brug1_lokaal_y,Brug1_lokaal_z,Brug2_lokaal_x,Brug2_lokaal_y,Brug2_lokaal_z,Brug1_RD_x,Brug1_RD_y,Brug1_RD_z,Brug2_RD_x,Brug2_RD_y,Brug2_RD_z,Brug_rotatiex,Brug_rotatiey,Brug_rotatiez,Brug_opleg_dist,delta_y,Prism_dist,Timestamp,Name
0.06526539921225175,-0.07616378964058948,-0.024880322151264067,0.21189690616936002,2295.3388157540853,5700.910761241936,9.630751997525788,2315.7008353430574,5691.060812367404,9.630751997525788,124411.06251580523,426969.21527498215,9.630751997525788,124433.1119428371,426964.1698709212,9.630751997525788,-0.2367772283206241,0.07663416226932895,0.14142918885284123,22.62,0.044299875753495144,24.73,2025-12-02 18:00:00,Pijler9
-0.018567502402893288,-0.18187582482756626,0.07449192406669954,0.2936073399648854,2295.338792654297,5700.910677409034,9.630852193521438,2315.7008205646753,5691.060706655368,9.630852193521438,124411.06251204402,426969.21518810635,9.630852193521438,124433.11195208076,426964.1697645821,9.630852193521438,-0.21911541589818592,0.02006742033699993,0.16330832242467297,22.62,0.02536079045967199,24.73,2025-12-02 22:00:00,Pijler9
-0.006833656752720652,-0.2005395880952653,0.03701078255803377,0.22790612955757544,2295.338795842592,5700.91068914288,9.630816028567935,2315.7007902167684,5691.060687991605,9.630816028567935,124411.0625125267,426969.21520025603,9.630816028567935,124433.11192667694,426964.1697396026,9.630816028567935,-0.19089534699954167,0.02411269338153943,0.1937059313425446,22.62,0.011780984550568974,24.73,2025-12-03 02:00:00,Pijler9
0.054400792967887364,-0.17679400064337372,0.04482599021028727,0.23512008394109535,2295.3388748117627,5700.910750377329,9.630823871818123,2315.7009737605767,5691.060711737193,9.630823871818123,124411.06257579669,426969.21527760394,9.630823871818123,124433.11210025765,426964.1698038047,9.630823871818123,-0.19029409373080805,0.16868748912202136,0.23119479361126108,22.62,0.14303747411759105,24.73,2025-12-03 06:00:00,Pijler9
-0.007585378827016958,-0.17589045526493371,-0.017656800884507065,0.42521286167752,2295.3388296890216,5700.910688391158,9.630749608866768,2315.701151784686,5691.060712640738,9.630749608866768,124411.06254568357,426969.21520709473,9.630749608866768,124433.11227356827,426964.1698445089,9.630749608866768,-0.442869662562027,0.24559594930906314,0.16830507643791676,22.62,0.20948815813426336,24.73,2025-12-03 10:00:00,Pijler9
-0.023543865137618282,-0.06976242595410322,-0.02300118111629132,0.5901879775295018,2295.338819312076,5700.910672432672,9.630736320761144,2315.7013714647,5691.060818768767,9.630736320761144,124411.06253913947,426969.21518921934,9.630736320761144,124433.1124639407,426964.1699970894,9.630736320761144,-0.6131891586457932,0.32572667009844736,0.04621856081648494,22.62,0.314139692363824,24.73,2025-12-03 14:00:00,Pijler9
0.09433742437391855,0.054634377162472006,0.058259079935227415,0.8885365989128062,2295.3388442864643,5700.910790313961,9.630807455990357,2315.7013689939627,5691.06094316557,9.630807455990357,124411.06253711121,426969.21530970006,9.630807455990357,124433.11243370533,426964.17011778115,9.630807455990357,-0.8302775189775788,0.3315463693525089,0.039703047211446525,22.62,0.3253915178902389,24.73,2025-12-03 18:00:00,Pijler9
0.01280884028821709,-0.10842694594905006,0.0035223085947043396,0.8793189603200982,2295.3388532848394,5700.910708785377,9.630750596200226,2315.701524274288,5691.060780104247,9.630750596200226,124411.0625641193,426969.21523225046,9.630750596200226,124433.11262152705,426964.1699935878,9.630750596200226,-0.8757966517253937,0.4584581224662543,0.12123578623726713,22.62,0.4075308681876777,24.73,2025-12-03 22:00:00,Pijler9
-0.056273702067318486,-0.12291923507198681,0.0287095357612505,0.9458447171909806,2295.3387739184127,5700.9106397028345,9.630773855392519,2315.701455525014,5691.060765611958,9.630773855392519,124411.06250221773,426969.2151471645,9.630773855392519,124433.11255776187,426964.16996408376,9.630773855392519,-0.91713518142973,0.3647622070275247,0.06664553300466831,22.62,0.3334730176902667,24.73,2025-12-04 02:00:00,Pijler9
0.03919878363663344,-0.08655664387620533,0.04634300382005806,1.051976974540904,2295.338753353903,5700.91073517532,9.630787361264527,2315.701574694328,5691.06080197455,9.630787361264527,124411.06246081738,426969.21523561736,9.630787361264527,124433.11266577705,426964.1700261827,9.630787361264527,-1.005633970720846,0.40197987732426554,0.12575542751283875,22.62,0.38277541989373276,24.73,2025-12-04 06:00:00,Pijler9
